index,query,reference_answer,true_topic,topic_for_routing,true_topic_source,topic_accuracy_eligible,predicted_topic,prediction_source,topic_correct,method,topic_source,routing_topic,bm25_weight,dense_weight,graph_profile,adaptation_target,strict_chunk_recall@5,strict_chunk_ndcg@5,strict_chunk_mrr@5,document_recall@5,document_ndcg@5,document_mrr@5,page_window_recall@5,faithfulness,answer_relevance,citation_correctness,citation_hit_rate,latency_ms,soft_Recall@5,max_soft_relevance,retrieval_signature,top_candidate_ids,gold_relevant_chunk_ids,gold_relevant_document_ids,gold_relevant_pages,answer_preview,retrieval_type,template_used,graph_hit_count,blended_chunk_count,weight_control_status,weight_attributes_updated,using_graphrag_executor,graph_db_ready,graph_node_count,run_mode,evaluation_status,eval_source,topic_accuracy_basis,peft_qlora_mode,composite_score
0,FeederBW low-voltage Netze BW one-minute feed-in installations weather metadata 200 feeders,"The answer should state that FeederBW contains real-world energy data from 200 low-voltage feeders, recorded by Netze BW over 2023-2025, with weather information, feeder metadata, low-carbon technology installation changes, high photovoltaic feed-in, and one-minute temporal resolution.",technology_innovation,technology_innovation,gold,True,climate_science,keyword_fallback,0,static_graphrag,none,none,0.5,0.5,balanced_evidence,none,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7606,0.8399,1.0,1.0,5541.0,1.0,1.0,chunk036782 > chunk036783 > chunk036851 > chunk036846 > chunk036814,chunk_036782;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid || chunk_036783;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid || chunk_036851;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid,['chunk_036782'],['treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1'],[1],"The FeederBW dataset, provided by the German distribution system operator Netze BW, contains real-world energy data from 200 low-voltage feeders recorded over the period of 2023–2025 (Treutlein et al., 2026, p. 1). This dataset features a one-minute ",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.5->0.5,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.6005
0,FeederBW low-voltage Netze BW one-minute feed-in installations weather metadata 200 feeders,"The answer should state that FeederBW contains real-world energy data from 200 low-voltage feeders, recorded by Netze BW over 2023-2025, with weather information, feeder metadata, low-carbon technology installation changes, high photovoltaic feed-in, and one-minute temporal resolution.",technology_innovation,technology_innovation,gold,True,climate_science,keyword_fallback,0,topic_gated_graphrag,keyword_fallback,climate_science,0.4,0.6,scientific_evidence,BM25/dense weights + graph profile signal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7606,0.8399,1.0,1.0,2285.0,1.0,1.0,chunk036782 > chunk036783 > chunk036851 > chunk036846 > chunk036814,chunk_036782;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid || chunk_036783;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid || chunk_036851;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid,['chunk_036782'],['treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1'],[1],"The FeederBW dataset, provided by the German distribution system operator Netze BW, contains real-world energy data from 200 low-voltage feeders recorded over the period of 2023–2025 (Treutlein et al., 2026, p. 1). This dataset features a one-minute ",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.5->0.4,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.6005
0,FeederBW low-voltage Netze BW one-minute feed-in installations weather metadata 200 feeders,"The answer should state that FeederBW contains real-world energy data from 200 low-voltage feeders, recorded by Netze BW over 2023-2025, with weather information, feeder metadata, low-carbon technology installation changes, high photovoltaic feed-in, and one-minute temporal resolution.",technology_innovation,technology_innovation,gold,True,climate_science,keyword_fallback,0,feedback_adaptive_graphrag,keyword_fallback + FeedbackAdapter,climate_science,0.5,0.5,scientific_evidence,BM25/dense weights; graph profile logged if supported,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7606,0.8399,1.0,1.0,2453.0,1.0,1.0,chunk036782 > chunk036783 > chunk036851 > chunk036846 > chunk036814,chunk_036782;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid || chunk_036783;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid || chunk_036851;treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1;hybrid,['chunk_036782'],['treutlein_2026_real_world_energy_data_200_feeders_low_voltage_2602_03521v1'],[1],"The FeederBW dataset, provided by the German distribution system operator Netze BW, contains real-world energy data from 200 low-voltage feeders recorded over the period of 2023–2025 (Treutlein et al., 2026, p. 1). This dataset features a one-minute ",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.4->0.5,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.6005
1,cereal crops phenology sowing date thermal trend photosynthesis starch metabolism phenolo shortens accommodate,"The answer should mention that adjusting sowing date can help accommodate the thermal trend, because warming accelerates crop growth, shortens phenological phases, and affects photosynthesis, starch conversion, nutrient metabolism, and water-stress response.",adaptation,adaptation,gold,True,technology_innovation,river,0,static_graphrag,none,none,0.5,0.5,balanced_evidence,none,1.0,0.6309297535714575,0.5,1.0,1.0,1.0,1.0,0.6774,0.6588,1.0,1.0,5717.0,1.0,1.0,chunk006694 > chunk006699 > chunk006721 > chunk006656 > chunk006664,chunk_006694;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid || chunk_006699;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid || chunk_006721;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid,['chunk_006699'],['fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424'],[11],"Climate warming accelerates crop growth and shortens the duration of phenological phases in cereal crops (Fatima et al., 2020, p. 11). To accommodate these thermal trends and ensure proper phenology, adjusting the sowing date is considered a signific",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.5->0.5,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.336200000000001
1,cereal crops phenology sowing date thermal trend photosynthesis starch metabolism phenolo shortens accommodate,"The answer should mention that adjusting sowing date can help accommodate the thermal trend, because warming accelerates crop growth, shortens phenological phases, and affects photosynthesis, starch conversion, nutrient metabolism, and water-stress response.",adaptation,adaptation,gold,True,technology_innovation,river,0,topic_gated_graphrag,river,technology_innovation,0.45,0.55,technology_solution_evidence,BM25/dense weights + graph profile signal,1.0,0.6309297535714575,0.5,1.0,1.0,1.0,1.0,0.6774,0.6588,1.0,1.0,4125.0,1.0,1.0,chunk006694 > chunk006699 > chunk006721 > chunk006656 > chunk006664,chunk_006694;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid || chunk_006699;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid || chunk_006721;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid,['chunk_006699'],['fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424'],[11],"Climate warming accelerates crop growth and shortens the duration of phenological phases in cereal crops (Fatima et al., 2020, p. 11). To accommodate these thermal trends and ensure proper phenology, adjusting the sowing date is considered a signific",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.5->0.45,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.336200000000001
1,cereal crops phenology sowing date thermal trend photosynthesis starch metabolism phenolo shortens accommodate,"The answer should mention that adjusting sowing date can help accommodate the thermal trend, because warming accelerates crop growth, shortens phenological phases, and affects photosynthesis, starch conversion, nutrient metabolism, and water-stress response.",adaptation,adaptation,gold,True,technology_innovation,river,0,feedback_adaptive_graphrag,river + FeedbackAdapter,technology_innovation,0.5,0.5,technology_solution_evidence,BM25/dense weights; graph profile logged if supported,1.0,0.6309297535714575,0.5,1.0,1.0,1.0,1.0,0.6774,0.6588,1.0,1.0,11801.0,1.0,1.0,chunk006694 > chunk006699 > chunk006721 > chunk006656 > chunk006664,chunk_006694;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid || chunk_006699;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid || chunk_006721;fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424;hybrid,['chunk_006699'],['fatima_2020_fingerprints_climate_warming_cereal_crops_phenology_adaptation_options_w3094545424'],[11],"Climate warming accelerates crop growth and shortens the duration of phenological phases in cereal crops (Fatima et al., 2020, p. 11). To accommodate these thermal trends and ensure proper phenology, adjusting the sowing date is considered a signific",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.45->0.5,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.336200000000001
2,interactive photogrammetric dendrometry uncalibrated commodity smartphones data-gathering close-range photogrammetry urban-scale individual-level action,"The answer should explain that the framework uses interactive photogrammetric dendrometry with uncalibrated commodity smartphones as a low-cost data-gathering module, linking tree-data generation to urban-scale analysis and individual-level action such as cooling and eco-routing.",adaptation,adaptation,gold,True,technology_innovation,river,0,static_graphrag,none,none,0.5,0.5,balanced_evidence,none,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7206,0.7093,1.0,1.0,7558.0,1.0,1.0,chunk036179 > chunk036162 > chunk036217 > chunk000002 > chunk001168,chunk_036179;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid || chunk_036162;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid || chunk_036217;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid,['chunk_036179'],['ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1'],[7],"Interactive photogrammetric dendrometry is a foundational data-gathering component designed to enable precise measurements of urban tree metrics, such as height and diameter at breast height (DBH), using uncalibrated, commodity smartphones (Ravi et a",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.5->0.5,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.4299
2,interactive photogrammetric dendrometry uncalibrated commodity smartphones data-gathering close-range photogrammetry urban-scale individual-level action,"The answer should explain that the framework uses interactive photogrammetric dendrometry with uncalibrated commodity smartphones as a low-cost data-gathering module, linking tree-data generation to urban-scale analysis and individual-level action such as cooling and eco-routing.",adaptation,adaptation,gold,True,technology_innovation,river,0,topic_gated_graphrag,river,technology_innovation,0.45,0.55,technology_solution_evidence,BM25/dense weights + graph profile signal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7206,0.7093,1.0,1.0,2857.0,1.0,1.0,chunk036179 > chunk036162 > chunk036217 > chunk000002 > chunk001168,chunk_036179;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid || chunk_036162;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid || chunk_036217;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid,['chunk_036179'],['ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1'],[7],"Interactive photogrammetric dendrometry is a foundational data-gathering component designed to enable precise measurements of urban tree metrics, such as height and diameter at breast height (DBH), using uncalibrated, commodity smartphones (Ravi et a",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.5->0.45,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.4299
2,interactive photogrammetric dendrometry uncalibrated commodity smartphones data-gathering close-range photogrammetry urban-scale individual-level action,"The answer should explain that the framework uses interactive photogrammetric dendrometry with uncalibrated commodity smartphones as a low-cost data-gathering module, linking tree-data generation to urban-scale analysis and individual-level action such as cooling and eco-routing.",adaptation,adaptation,gold,True,technology_innovation,river,0,feedback_adaptive_graphrag,river + FeedbackAdapter,technology_innovation,0.45,0.55,technology_solution_evidence,BM25/dense weights; graph profile logged if supported,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7206,0.7093,1.0,1.0,2641.0,1.0,1.0,chunk036179 > chunk036162 > chunk036217 > chunk000002 > chunk001168,chunk_036179;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid || chunk_036162;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid || chunk_036217;ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1;hybrid,['chunk_036179'],['ravi_2025_citizen_centered_climate_intelligence_operationalizing_open_tree_data_2508_17648v1'],[7],"Interactive photogrammetric dendrometry is a foundational data-gathering component designed to enable precise measurements of urban tree metrics, such as height and diameter at breast height (DBH), using uncalibrated, commodity smartphones (Ravi et a",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.45->0.45,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.4299
3,Massachusetts substations transformer thermal aging hottest spot temperature flash flood five-day precipitation reevaluation Bedford,"The answer should state that warming and changing precipitation patterns can make old transformer-loading assumptions unreliable. It should mention five-day precipitation projections, flash-flood limitations, hottest-spot temperature, and thermal aging as reasons for reevaluating substation risk.",climate_science,climate_science,gold,True,technology_innovation,river,0,static_graphrag,none,none,0.5,0.5,balanced_evidence,none,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6719,0.6833,1.0,1.0,4770.0,1.0,1.0,chunk023284 > chunk023283 > chunk036608 > chunk042476 > chunk001992,chunk_023284;shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1;hybrid || chunk_023283;shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1;hybrid || chunk_036608;tabari_2020_climate_change_impact_flood_extreme_precipitation_increases_water_w3049213504;hybrid,['chunk_023284'],['shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1'],[3],"In Massachusetts, transformer thermal aging is governed by the hottest spot temperature (THST), which is influenced by ambient temperature, internal thermal inertia, and loading practices (Shah et al., 2025, p. 3). Because climate change may render e",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.45->0.5,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.3552
3,Massachusetts substations transformer thermal aging hottest spot temperature flash flood five-day precipitation reevaluation Bedford,"The answer should state that warming and changing precipitation patterns can make old transformer-loading assumptions unreliable. It should mention five-day precipitation projections, flash-flood limitations, hottest-spot temperature, and thermal aging as reasons for reevaluating substation risk.",climate_science,climate_science,gold,True,technology_innovation,river,0,topic_gated_graphrag,river,technology_innovation,0.45,0.55,technology_solution_evidence,BM25/dense weights + graph profile signal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6719,0.6833,1.0,1.0,2894.0,1.0,1.0,chunk023284 > chunk023283 > chunk036608 > chunk042476 > chunk001992,chunk_023284;shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1;hybrid || chunk_023283;shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1;hybrid || chunk_036608;tabari_2020_climate_change_impact_flood_extreme_precipitation_increases_water_w3049213504;hybrid,['chunk_023284'],['shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1'],[3],"In Massachusetts, transformer thermal aging is governed by the hottest spot temperature (THST), which is influenced by ambient temperature, internal thermal inertia, and loading practices (Shah et al., 2025, p. 3). Because climate change may render e",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.5->0.45,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.3552
3,Massachusetts substations transformer thermal aging hottest spot temperature flash flood five-day precipitation reevaluation Bedford,"The answer should state that warming and changing precipitation patterns can make old transformer-loading assumptions unreliable. It should mention five-day precipitation projections, flash-flood limitations, hottest-spot temperature, and thermal aging as reasons for reevaluating substation risk.",climate_science,climate_science,gold,True,technology_innovation,river,0,feedback_adaptive_graphrag,river + FeedbackAdapter,technology_innovation,0.4,0.6,technology_solution_evidence,BM25/dense weights; graph profile logged if supported,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6719,0.6833,1.0,1.0,2695.0,1.0,1.0,chunk023284 > chunk023283 > chunk036608 > chunk042476 > chunk001992,chunk_023284;shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1;hybrid || chunk_023283;shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1;hybrid || chunk_036608;tabari_2020_climate_change_impact_flood_extreme_precipitation_increases_water_w3049213504;hybrid,['chunk_023284'],['shah_2025_assessing_climate_vulnerability_risk_substations_massachusetts_sensitivity_2511_03748v1'],[3],"In Massachusetts, transformer thermal aging is governed by the hottest spot temperature (THST), which is influenced by ambient temperature, internal thermal inertia, and loading practices (Shah et al., 2025, p. 3). Because climate change may render e",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.45->0.4,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.3552
4,energy advisors accused commercial interests jeopardizing trusting relationship simplify information gathering planning process,"The answer should say that participants wanted support to simplify information gathering and planning, and that energy advisors could provide independent advice. It should also mention that perceived commercial interests can jeopardize a trusting relationship.",policy_governance,policy_governance,gold,True,technology_innovation,river,0,static_graphrag,none,none,0.5,0.5,balanced_evidence,none,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,1.0,0.75,0.7473,1.0,1.0,5587.0,1.0,1.0,chunk039454 > chunk020520 > chunk000002 > chunk000354 > chunk039457,chunk_039454;scheller_2021_stakeholder_dynamics_residential_solar_energy_adoption_findings_focus_2104_14240v1;hybrid || chunk_020520;kabeyi_2022_sustainable_energy_transition_renewable_low_carbon_grid_electricity_w4220773259;hybrid || chunk_000002;cuzzolin_2023_reasoning_random_sets_agenda_future_2401_09435v1;graph,['chunk_039454'],['scheller_2021_stakeholder_dynamics_residential_solar_energy_adoption_findings_focus_2104_14240v1'],[19],"Energy advisors have been identified as potential change agents who could simplify information gathering and support the planning process for stakeholders (Scheller et al., 2021, p. 19). However, some participants have accused these advisors of havin",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.4->0.5,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.347644905534755
4,energy advisors accused commercial interests jeopardizing trusting relationship simplify information gathering planning process,"The answer should say that participants wanted support to simplify information gathering and planning, and that energy advisors could provide independent advice. It should also mention that perceived commercial interests can jeopardize a trusting relationship.",policy_governance,policy_governance,gold,True,technology_innovation,river,0,topic_gated_graphrag,river,technology_innovation,0.45,0.55,technology_solution_evidence,BM25/dense weights + graph profile signal,1.0,1.0,1.0,1.0,0.8503449055347546,1.0,1.0,0.75,0.7473,1.0,1.0,6926.0,1.0,1.0,chunk039454 > chunk020520 > chunk000002 > chunk000354 > chunk039457,chunk_039454;scheller_2021_stakeholder_dynamics_residential_solar_energy_adoption_findings_focus_2104_14240v1;hybrid || chunk_020520;kabeyi_2022_sustainable_energy_transition_renewable_low_carbon_grid_electricity_w4220773259;hybrid || chunk_000002;cuzzolin_2023_reasoning_random_sets_agenda_future_2401_09435v1;graph,['chunk_039454'],['scheller_2021_stakeholder_dynamics_residential_solar_energy_adoption_findings_focus_2104_14240v1'],[19],"Energy advisors have been identified as potential change agents who could simplify information gathering and support the planning process for stakeholders (Scheller et al., 2021, p. 19). However, some participants have accused these advisors of havin",graph_guided,graphrag_finding_document_grounding,5,16,applied,GraphRAGExecutor.blender.hybrid_retriever.bm25_weight:0.5->0.45,True,True,541,final,final_d3_gold_run,d3_gold_qa.csv,gold_true_topic_only,available_compared,7.347644905534755
