index,query,actual_topic,predicted_topic,correct,cumulative_accuracy,rolling_accuracy,drift_alert,phase
204,answer using citations about show documents about climate finance policy,policy_governance,policy_governance,TRUE,0.8284,0.94,FALSE,stable_pre_drift
205,find evidence on what technologies support carbon capture and storage,technology_innovation,technology_innovation,TRUE,0.8293,0.94,FALSE,stable_pre_drift
206,find evidence on which innovations support green hydrogen deployment,technology_innovation,technology_innovation,TRUE,0.8301,0.94,FALSE,stable_pre_drift
207,which climate policies address renewable energy targets for the project report,policy_governance,policy_governance,TRUE,0.8309,0.94,FALSE,stable_pre_drift
208,explain the science behind climate feedback loops in the evidence graph,climate_science,climate_science,TRUE,0.8317,0.94,FALSE,stable_pre_drift
209,what governance mechanisms support national climate plans in the evidence graph,policy_governance,policy_governance,TRUE,0.8325,0.94,FALSE,stable_pre_drift
210,what adaptation policies help water security focusing on flood risk,adaptation,adaptation,TRUE,0.8333,0.94,FALSE,stable_pre_drift
211,what evidence links emissions to radiative forcing focusing on sea level,climate_science,climate_science,TRUE,0.8341,0.94,FALSE,stable_pre_drift
212,what does the dataset say about how can smart grids improve clean energy integration,technology_innovation,technology_innovation,TRUE,0.8349,0.94,FALSE,stable_pre_drift
213,show evidence about satellite monitoring for climate risks focusing on carbon capture,technology_innovation,technology_innovation,TRUE,0.8357,0.94,FALSE,stable_pre_drift
214,retrieve climate evidence for what evidence discusses carbon market governance,policy_governance,policy_governance,TRUE,0.8364,0.96,FALSE,stable_pre_drift
215,which innovations support green hydrogen deployment focusing on carbon capture,technology_innovation,technology_innovation,TRUE,0.8372,0.96,FALSE,stable_pre_drift
216,show evidence about disaster risk reduction and resilience from the climate PDFs,adaptation,adaptation,TRUE,0.838,0.96,FALSE,stable_pre_drift
217,which climate policies address renewable energy targets focusing on finance,policy_governance,policy_governance,TRUE,0.8387,0.96,FALSE,stable_pre_drift
218,what evidence mentions the UAE consensus and transition away from fossil fuels focusing on loss and damage,uae_cop28,uae_cop28,TRUE,0.8394,0.96,FALSE,stable_pre_drift
219,which UAE initiatives were discussed in the COP28 documents focusing on loss and damage,uae_cop28,uae_cop28,TRUE,0.8402,0.96,FALSE,stable_pre_drift
220,what adaptation policies help water security focusing on heat stress,adaptation,adaptation,TRUE,0.8409,0.96,FALSE,stable_pre_drift
221,summarize documents about which climate policies address renewable energy targets,policy_governance,policy_governance,TRUE,0.8416,0.96,FALSE,stable_pre_drift
222,what does the dataset say about show documents about climate finance policy,policy_governance,policy_governance,TRUE,0.8423,0.96,FALSE,stable_pre_drift
223,explain the science behind climate feedback loops for the GraphRAG agent,climate_science,climate_science,TRUE,0.843,0.96,FALSE,stable_pre_drift
224,which documents discuss UAE renewable energy commitments focusing on loss and damage,uae_cop28,uae_cop28,TRUE,0.8438,0.96,FALSE,stable_pre_drift
225,show COP28 evidence about loss and damage finance focusing on loss and damage,uae_cop28,uae_cop28,TRUE,0.8444,0.96,FALSE,stable_pre_drift
226,answer using citations about what mitigation actions reduce fossil fuel dependence,mitigation,mitigation,TRUE,0.8451,0.96,FALSE,stable_pre_drift
227,which papers explain global temperature anomalies with source support,climate_science,climate_science,TRUE,0.8458,0.96,FALSE,stable_pre_drift
228,show COP28 evidence about loss and damage finance for the project report,uae_cop28,uae_cop28,TRUE,0.8465,0.96,FALSE,stable_pre_drift
229,find evidence on what does climate science say about sea level rise,climate_science,climate_science,TRUE,0.8472,0.98,FALSE,stable_pre_drift
230,how do climate models project future warming from the climate PDFs,climate_science,climate_science,TRUE,0.8478,0.98,FALSE,stable_pre_drift
231,find evidence on which innovations support green hydrogen deployment,technology_innovation,technology_innovation,TRUE,0.8485,1,FALSE,stable_pre_drift
232,which innovations support green hydrogen deployment using reliable citations,technology_innovation,technology_innovation,TRUE,0.8491,1,FALSE,stable_pre_drift
233,what evidence discusses climate resilience for agriculture in the evidence graph,adaptation,adaptation,TRUE,0.8498,1,FALSE,stable_pre_drift
234,show findings about ocean warming and ice melt focusing on models,climate_science,climate_science,TRUE,0.8504,1,FALSE,stable_pre_drift
235,what does the dataset say about how do NDCs guide climate policy implementation,policy_governance,policy_governance,TRUE,0.8511,1,FALSE,stable_pre_drift
236,how can smart grids improve clean energy integration in the evidence graph,technology_innovation,technology_innovation,TRUE,0.8517,1,FALSE,stable_pre_drift
237,which papers explain global temperature anomalies focusing on attribution,climate_science,climate_science,TRUE,0.8523,1,FALSE,stable_pre_drift
238,what evidence links carbon pricing to emissions reduction using reliable citations,mitigation,mitigation,TRUE,0.8529,1,FALSE,stable_pre_drift
239,answer using citations about show findings about ocean warming and ice melt,climate_science,climate_science,TRUE,0.8536,1,FALSE,stable_pre_drift
240,how do NDCs guide climate policy implementation for the project report,policy_governance,policy_governance,TRUE,0.8542,1,FALSE,stable_pre_drift
241,what were the major climate outcomes from COP28 in the UAE focusing on loss and damage,uae_cop28,uae_cop28,TRUE,0.8548,1,FALSE,stable_pre_drift
242,summarize documents about which papers explain global temperature anomalies,climate_science,climate_science,TRUE,0.8554,1,FALSE,stable_pre_drift
243,how can smart grids improve clean energy integration for the project report,technology_innovation,technology_innovation,TRUE,0.856,1,FALSE,stable_pre_drift
244,what were the major climate outcomes from COP28 in the UAE focusing on global stocktake,uae_cop28,uae_cop28,TRUE,0.8566,1,FALSE,stable_pre_drift
245,what mitigation actions reduce fossil fuel dependence focusing on net zero,mitigation,mitigation,TRUE,0.8571,1,FALSE,stable_pre_drift
246,which documents discuss net zero mitigation pathways focusing on net zero,mitigation,mitigation,TRUE,0.8577,1,FALSE,stable_pre_drift
247,what evidence discusses climate resilience for agriculture focusing on flood risk,adaptation,adaptation,TRUE,0.8583,1,FALSE,stable_pre_drift
248,explain the science behind climate feedback loops focusing on sea level,climate_science,climate_science,TRUE,0.8589,1,FALSE,stable_pre_drift
249,what evidence links emissions to radiative forcing focusing on sea level,climate_science,climate_science,TRUE,0.8594,1,FALSE,stable_pre_drift
250,what does climate science say about sea level rise focusing on attribution,climate_science,climate_science,TRUE,0.86,1,FALSE,stable_pre_drift
251,what evidence discusses climate resilience for agriculture focusing on water security,adaptation,adaptation,TRUE,0.8606,1,FALSE,stable_pre_drift
252,how can smart grids improve clean energy integration focusing on AI,technology_innovation,technology_innovation,TRUE,0.8611,1,FALSE,stable_pre_drift
253,which documents discuss net zero mitigation pathways for the project report,mitigation,mitigation,TRUE,0.8617,1,FALSE,stable_pre_drift
254,show COP28 evidence about loss and damage finance for the project report,uae_cop28,uae_cop28,TRUE,0.8622,1,FALSE,stable_pre_drift
255,what does climate science say about sea level rise using reliable citations,climate_science,climate_science,TRUE,0.8627,1,FALSE,stable_pre_drift
256,how can smart grids improve clean energy integration for the project report,technology_innovation,technology_innovation,TRUE,0.8633,1,FALSE,stable_pre_drift
257,show documents about climate finance policy with source support,policy_governance,policy_governance,TRUE,0.8638,1,FALSE,stable_pre_drift
258,which source explains how can cities adapt to extreme heat and flooding,adaptation,adaptation,TRUE,0.8643,1,FALSE,stable_pre_drift
259,how can renewable energy reduce greenhouse gas emissions focusing on decarbonization,mitigation,mitigation,TRUE,0.8649,1,FALSE,stable_pre_drift
260,how does drought planning reduce climate risk for the project report,adaptation,adaptation,TRUE,0.8654,1,FALSE,stable_pre_drift
261,which documents discuss UAE renewable energy commitments for the project report,uae_cop28,uae_cop28,TRUE,0.8659,1,FALSE,stable_pre_drift
262,how does drought planning reduce climate risk focusing on resilience,adaptation,adaptation,TRUE,0.8664,1,FALSE,stable_pre_drift
263,what does the dataset say about which innovations support green hydrogen deployment,technology_innovation,technology_innovation,TRUE,0.8669,1,FALSE,stable_pre_drift
264,how does drought planning reduce climate risk focusing on water security,adaptation,adaptation,TRUE,0.8674,1,FALSE,stable_pre_drift
265,what does climate science say about sea level rise for the project report,climate_science,climate_science,TRUE,0.8679,1,FALSE,stable_pre_drift
266,find evidence on what does climate science say about sea level rise,climate_science,climate_science,TRUE,0.8684,1,FALSE,stable_pre_drift
267,which climate policies address renewable energy targets using reliable citations,policy_governance,policy_governance,TRUE,0.8689,1,FALSE,stable_pre_drift
268,summarize documents about how can renewable energy reduce greenhouse gas emissions,mitigation,mitigation,TRUE,0.8694,1,FALSE,stable_pre_drift
269,what technologies support carbon capture and storage focusing on AI,technology_innovation,technology_innovation,TRUE,0.8699,1,FALSE,stable_pre_drift
270,what technologies support carbon capture and storage focusing on satellite,technology_innovation,technology_innovation,TRUE,0.8704,1,FALSE,stable_pre_drift
271,which adaptation measures protect coastal communities focusing on flood risk,adaptation,adaptation,TRUE,0.8708,1,FALSE,stable_pre_drift
272,which AI methods are used in climate forecasting papers focusing on green hydrogen,technology_innovation,technology_innovation,TRUE,0.8713,1,FALSE,stable_pre_drift
273,what evidence discusses climate resilience for agriculture focusing on heat stress,adaptation,adaptation,TRUE,0.8718,1,FALSE,stable_pre_drift
274,what does the dataset say about show climate evidence about methane reduction strategies,mitigation,mitigation,TRUE,0.8723,1,FALSE,stable_pre_drift
275,what does the dataset say about what adaptation policies help water security,adaptation,adaptation,TRUE,0.8727,1,FALSE,stable_pre_drift
276,what evidence links carbon pricing to emissions reduction for the project report,mitigation,mitigation,TRUE,0.8732,1,FALSE,stable_pre_drift
277,how does energy efficiency support climate mitigation focusing on renewables,mitigation,mitigation,TRUE,0.8736,1,FALSE,stable_pre_drift
278,show evidence about satellite monitoring for climate risks from the climate PDFs,technology_innovation,technology_innovation,TRUE,0.8741,1,FALSE,stable_pre_drift
279,which AI methods are used in climate forecasting papers with source support,technology_innovation,technology_innovation,TRUE,0.8746,1,FALSE,stable_pre_drift
280,how does energy efficiency support climate mitigation with source support,mitigation,mitigation,TRUE,0.875,1,FALSE,stable_pre_drift
281,find evidence on show documents about climate finance policy,policy_governance,policy_governance,TRUE,0.8754,1,FALSE,stable_pre_drift
282,what does the dataset say about explain the science behind climate feedback loops,climate_science,climate_science,TRUE,0.8759,1,FALSE,stable_pre_drift
283,what role does machine learning play in climate analysis using reliable citations,technology_innovation,technology_innovation,TRUE,0.8763,1,FALSE,stable_pre_drift
284,how can smart grids improve clean energy integration in the evidence graph,technology_innovation,technology_innovation,TRUE,0.8768,1,FALSE,stable_pre_drift
285,show climate evidence about methane reduction strategies focusing on emissions,mitigation,mitigation,TRUE,0.8772,1,FALSE,stable_pre_drift
286,which documents discuss UAE renewable energy commitments from the climate PDFs,uae_cop28,uae_cop28,TRUE,0.8776,1,FALSE,stable_pre_drift
287,how do NDCs guide climate policy implementation for the project report,policy_governance,policy_governance,TRUE,0.878,1,FALSE,stable_pre_drift
288,what does the dataset say about which documents discuss net zero mitigation pathways,mitigation,mitigation,TRUE,0.8785,1,FALSE,stable_pre_drift
289,find evidence on which papers explain global temperature anomalies,climate_science,climate_science,TRUE,0.8789,1,FALSE,stable_pre_drift
290,how does energy efficiency support climate mitigation focusing on emissions,mitigation,mitigation,TRUE,0.8793,1,FALSE,stable_pre_drift
291,which papers explain global temperature anomalies using reliable citations,climate_science,climate_science,TRUE,0.8797,1,FALSE,stable_pre_drift
292,how can smart grids improve clean energy integration for the project report,technology_innovation,technology_innovation,TRUE,0.8801,1,FALSE,stable_pre_drift
293,show documents about climate finance policy focusing on NDC,policy_governance,policy_governance,TRUE,0.8805,1,FALSE,stable_pre_drift
294,retrieve climate evidence for how can smart grids improve clean energy integration,technology_innovation,technology_innovation,TRUE,0.881,1,FALSE,stable_pre_drift
295,find evidence on what evidence discusses climate resilience for agriculture,adaptation,adaptation,TRUE,0.8814,1,FALSE,stable_pre_drift
296,what does the dataset say about explain the science behind climate feedback loops,climate_science,climate_science,TRUE,0.8818,1,FALSE,stable_pre_drift
297,what technologies support carbon capture and storage focusing on carbon capture,technology_innovation,technology_innovation,TRUE,0.8822,1,FALSE,stable_pre_drift
298,show evidence about satellite monitoring for climate risks for the project report,technology_innovation,technology_innovation,TRUE,0.8826,1,FALSE,stable_pre_drift
299,answer using citations about how did COP28 address the global stocktake,uae_cop28,uae_cop28,TRUE,0.8829,1,FALSE,stable_pre_drift
300,summarize documents about how do climate models project future warming,climate_science,climate_science,TRUE,0.8833,1,FALSE,stable_pre_drift
301,answer using citations about what role does machine learning play in climate analysis,technology_innovation,technology_innovation,TRUE,0.8837,1,FALSE,stable_pre_drift
302,what were the major climate outcomes from COP28 in the UAE focusing on COP28,uae_cop28,uae_cop28,TRUE,0.8841,1,FALSE,stable_pre_drift
303,how does drought planning reduce climate risk from the climate PDFs,adaptation,adaptation,TRUE,0.8845,1,FALSE,stable_pre_drift
304,how do climate models project future warming focusing on sea level,climate_science,climate_science,TRUE,0.8849,1,FALSE,stable_pre_drift
305,show evidence about satellite monitoring for climate risks focusing on AI,technology_innovation,technology_innovation,TRUE,0.8852,1,FALSE,stable_pre_drift
306,what evidence discusses climate resilience for agriculture for the GraphRAG agent,adaptation,adaptation,TRUE,0.8856,1,FALSE,stable_pre_drift
307,show documents about climate finance policy in the evidence graph,policy_governance,policy_governance,TRUE,0.886,1,FALSE,stable_pre_drift
308,how do NDCs guide climate policy implementation focusing on regulation,policy_governance,policy_governance,TRUE,0.8864,1,FALSE,stable_pre_drift
309,answer using citations about which documents discuss net zero mitigation pathways,mitigation,mitigation,TRUE,0.8867,1,FALSE,stable_pre_drift
310,which documents discuss UAE renewable energy commitments for the GraphRAG agent,uae_cop28,uae_cop28,TRUE,0.8871,1,FALSE,stable_pre_drift
311,what evidence links carbon pricing to emissions reduction focusing on renewables,mitigation,mitigation,TRUE,0.8875,1,FALSE,stable_pre_drift
312,summarize documents about how can renewable energy reduce greenhouse gas emissions,mitigation,mitigation,TRUE,0.8878,1,FALSE,stable_pre_drift
313,find evidence on which adaptation measures protect coastal communities,adaptation,adaptation,TRUE,0.8882,1,FALSE,stable_pre_drift
314,which source explains show documents about climate finance policy,policy_governance,policy_governance,TRUE,0.8885,1,FALSE,stable_pre_drift
315,what role does machine learning play in climate analysis for the project report,technology_innovation,technology_innovation,TRUE,0.8889,1,FALSE,stable_pre_drift
316,what does climate science say about sea level rise focusing on attribution,climate_science,climate_science,TRUE,0.8892,1,FALSE,stable_pre_drift
317,how does energy efficiency support climate mitigation with source support,mitigation,mitigation,TRUE,0.8896,1,FALSE,stable_pre_drift
318,explain the science behind climate feedback loops for the project report,climate_science,climate_science,TRUE,0.8899,1,FALSE,stable_pre_drift
319,find evidence on what evidence mentions the UAE consensus and transition away from fossil fuels,uae_cop28,uae_cop28,TRUE,0.8903,1,FALSE,stable_pre_drift
320,which papers explain global temperature anomalies focusing on attribution,climate_science,climate_science,TRUE,0.8906,1,FALSE,stable_pre_drift
321,what does climate science say about sea level rise focusing on attribution,climate_science,climate_science,TRUE,0.891,1,FALSE,stable_pre_drift
322,how does drought planning reduce climate risk in the evidence graph,adaptation,adaptation,TRUE,0.8913,1,FALSE,stable_pre_drift
323,summarize documents about show findings about ocean warming and ice melt,climate_science,climate_science,TRUE,0.8916,1,FALSE,stable_pre_drift
324,what mitigation actions reduce fossil fuel dependence from the climate PDFs,mitigation,mitigation,TRUE,0.892,1,FALSE,stable_pre_drift
325,summarize documents about how do climate models project future warming,climate_science,climate_science,TRUE,0.8923,1,FALSE,stable_pre_drift
326,which papers explain global temperature anomalies for the project report,climate_science,climate_science,TRUE,0.8926,1,FALSE,stable_pre_drift
327,what evidence links carbon pricing to emissions reduction using reliable citations,mitigation,mitigation,TRUE,0.893,1,FALSE,stable_pre_drift
328,which innovations support green hydrogen deployment focusing on green hydrogen,technology_innovation,technology_innovation,TRUE,0.8933,1,FALSE,stable_pre_drift
329,how did COP28 address the global stocktake in the evidence graph,uae_cop28,uae_cop28,TRUE,0.8936,1,FALSE,stable_pre_drift
330,show documents about climate finance policy focusing on finance,policy_governance,policy_governance,TRUE,0.8939,1,FALSE,stable_pre_drift
331,which AI methods are used in climate forecasting papers for the GraphRAG agent,technology_innovation,technology_innovation,TRUE,0.8943,1,FALSE,stable_pre_drift
332,what does the dataset say about which regulations support climate accountability,policy_governance,policy_governance,TRUE,0.8946,1,FALSE,stable_pre_drift
333,show climate evidence about methane reduction strategies using reliable citations,mitigation,mitigation,TRUE,0.8949,1,FALSE,stable_pre_drift
334,which regulations support climate accountability using reliable citations,policy_governance,policy_governance,TRUE,0.8952,1,FALSE,stable_pre_drift
335,which UAE initiatives were discussed in the COP28 documents using reliable citations,uae_cop28,uae_cop28,TRUE,0.8955,1,FALSE,stable_pre_drift
336,what does the dataset say about how can cities adapt to extreme heat and flooding,adaptation,adaptation,TRUE,0.8958,1,FALSE,stable_pre_drift
337,answer using citations about what were the major climate outcomes from COP28 in the UAE,uae_cop28,uae_cop28,TRUE,0.8961,1,FALSE,stable_pre_drift
338,which regulations support climate accountability for the GraphRAG agent,policy_governance,policy_governance,TRUE,0.8964,1,FALSE,stable_pre_drift
339,which regulations support climate accountability with source support,policy_governance,policy_governance,TRUE,0.8968,1,FALSE,stable_pre_drift
340,find evidence on show COP28 evidence about loss and damage finance,uae_cop28,uae_cop28,TRUE,0.8971,1,FALSE,stable_pre_drift
341,answer using citations about what role does machine learning play in climate analysis,technology_innovation,technology_innovation,TRUE,0.8974,1,FALSE,stable_pre_drift
342,retrieve climate evidence for which documents discuss UAE renewable energy commitments,uae_cop28,uae_cop28,TRUE,0.8977,1,FALSE,stable_pre_drift
343,answer using citations about which UAE initiatives were discussed in the COP28 documents,uae_cop28,uae_cop28,TRUE,0.898,1,FALSE,stable_pre_drift
344,answer using citations about show COP28 evidence about loss and damage finance,uae_cop28,uae_cop28,TRUE,0.8983,1,FALSE,stable_pre_drift
345,which documents discuss net zero mitigation pathways for the GraphRAG agent,mitigation,mitigation,TRUE,0.8986,1,FALSE,stable_pre_drift
346,show evidence about disaster risk reduction and resilience in the evidence graph,adaptation,adaptation,TRUE,0.8988,1,FALSE,stable_pre_drift
347,how can smart grids improve clean energy integration from the climate PDFs,technology_innovation,technology_innovation,TRUE,0.8991,1,FALSE,stable_pre_drift
348,summarize documents about which adaptation measures protect coastal communities,adaptation,adaptation,TRUE,0.8994,1,FALSE,stable_pre_drift
349,how can cities adapt to extreme heat and flooding focusing on heat stress,adaptation,adaptation,TRUE,0.8997,1,FALSE,stable_pre_drift
350,what mitigation actions reduce fossil fuel dependence using reliable citations,policy_governance,mitigation,FALSE,0.8971,0.98,FALSE,concept_drift
351,summarize documents about what adaptation policies help water security,uae_cop28,adaptation,FALSE,0.8946,0.96,FALSE,concept_drift
352,which documents discuss UAE renewable energy commitments focusing on flood risk,adaptation,uae_cop28,FALSE,0.892,0.94,FALSE,concept_drift
353,how does energy efficiency support climate mitigation from the climate PDFs,policy_governance,mitigation,FALSE,0.8895,0.92,FALSE,concept_drift
354,what evidence discusses carbon market governance focusing on net zero,mitigation,policy_governance,FALSE,0.887,0.9,FALSE,concept_drift
355,which source explains what governance mechanisms support national climate plans,mitigation,policy_governance,FALSE,0.8845,0.88,FALSE,concept_drift
356,which adaptation measures protect coastal communities for the GraphRAG agent,uae_cop28,adaptation,FALSE,0.882,0.86,FALSE,concept_drift
357,what evidence discusses carbon market governance focusing on renewables,mitigation,policy_governance,FALSE,0.8796,0.84,FALSE,concept_drift
358,what adaptation policies help water security focusing on UAE consensus,uae_cop28,adaptation,FALSE,0.8771,0.82,FALSE,concept_drift
359,show climate evidence about methane reduction strategies focusing on accountability,policy_governance,mitigation,FALSE,0.8747,0.8,FALSE,concept_drift
360,summarize documents about which AI methods are used in climate forecasting papers,climate_science,technology_innovation,FALSE,0.8722,0.78,FALSE,concept_drift
361,what evidence links emissions to radiative forcing focusing on satellite,technology_innovation,climate_science,FALSE,0.8698,0.76,FALSE,concept_drift
362,what evidence links carbon pricing to emissions reduction focusing on accountability,policy_governance,mitigation,FALSE,0.8674,0.74,FALSE,concept_drift
363,how does energy efficiency support climate mitigation for the GraphRAG agent,policy_governance,mitigation,FALSE,0.865,0.72,FALSE,concept_drift
364,how does drought planning reduce climate risk with source support,uae_cop28,adaptation,FALSE,0.8626,0.7,FALSE,concept_drift
365,what does climate science say about sea level rise focusing on green hydrogen,technology_innovation,climate_science,FALSE,0.8603,0.68,FALSE,concept_drift
366,how can cities adapt to extreme heat and flooding focusing on global stocktake,uae_cop28,adaptation,FALSE,0.8579,0.66,FALSE,concept_drift
367,show documents about climate finance policy focusing on decarbonization,mitigation,policy_governance,FALSE,0.8556,0.64,FALSE,concept_drift
368,which regulations support climate accountability focusing on emissions,mitigation,policy_governance,FALSE,0.8533,0.62,FALSE,concept_drift
369,which documents discuss net zero mitigation pathways focusing on regulation,policy_governance,mitigation,FALSE,0.8509,0.6,FALSE,concept_drift
370,what does the dataset say about what role does machine learning play in climate analysis,climate_science,technology_innovation,FALSE,0.8486,0.58,FALSE,concept_drift
371,which source explains which adaptation measures protect coastal communities,uae_cop28,adaptation,FALSE,0.8464,0.56,FALSE,concept_drift
372,which source explains which documents discuss UAE renewable energy commitments,adaptation,uae_cop28,FALSE,0.8441,0.54,FALSE,concept_drift
373,show evidence about satellite monitoring for climate risks using reliable citations,climate_science,technology_innovation,FALSE,0.8418,0.52,FALSE,concept_drift
374,find evidence on show evidence about disaster risk reduction and resilience,uae_cop28,adaptation,FALSE,0.8396,0.5,FALSE,concept_drift
375,how can smart grids improve clean energy integration from the climate PDFs,climate_science,technology_innovation,FALSE,0.8373,0.48,FALSE,concept_drift
376,show COP28 evidence about loss and damage finance for the GraphRAG agent,adaptation,uae_cop28,FALSE,0.8351,0.46,FALSE,concept_drift
377,what mitigation actions reduce fossil fuel dependence in the evidence graph,policy_governance,mitigation,FALSE,0.8329,0.44,TRUE,concept_drift
378,show climate evidence about methane reduction strategies focusing on accountability,policy_governance,mitigation,FALSE,0.8307,0.42,FALSE,concept_drift
379,show findings about ocean warming and ice melt with source support,technology_innovation,climate_science,FALSE,0.8285,0.4,FALSE,concept_drift
380,which papers explain global temperature anomalies focusing on AI,technology_innovation,climate_science,FALSE,0.8263,0.38,FALSE,concept_drift
381,retrieve climate evidence for how did COP28 address the global stocktake,adaptation,uae_cop28,FALSE,0.8241,0.36,FALSE,concept_drift
382,show findings about ocean warming and ice melt focusing on satellite,technology_innovation,climate_science,FALSE,0.822,0.34,FALSE,concept_drift
383,what evidence mentions the UAE consensus and transition away from fossil fuels from the climate PDFs,adaptation,uae_cop28,FALSE,0.8198,0.32,FALSE,concept_drift
384,summarize documents about show climate evidence about methane reduction strategies,policy_governance,mitigation,FALSE,0.8177,0.3,FALSE,concept_drift
385,what does the dataset say about what evidence links carbon pricing to emissions reduction,policy_governance,mitigation,FALSE,0.8156,0.28,FALSE,concept_drift
386,answer using citations about which innovations support green hydrogen deployment,climate_science,technology_innovation,FALSE,0.8135,0.26,FALSE,concept_drift
387,which adaptation measures protect coastal communities focusing on global stocktake,uae_cop28,adaptation,FALSE,0.8114,0.24,FALSE,concept_drift
388,what does the dataset say about show climate evidence about methane reduction strategies,policy_governance,mitigation,FALSE,0.8093,0.22,FALSE,concept_drift
389,which regulations support climate accountability focusing on renewables,mitigation,policy_governance,FALSE,0.8072,0.2,FALSE,concept_drift
390,how do NDCs guide climate policy implementation in the evidence graph,mitigation,policy_governance,FALSE,0.8051,0.18,FALSE,concept_drift
391,explain the science behind climate feedback loops focusing on green hydrogen,technology_innovation,climate_science,FALSE,0.8031,0.16,FALSE,concept_drift
392,what evidence mentions the UAE consensus and transition away from fossil fuels from the climate PDFs,adaptation,uae_cop28,FALSE,0.801,0.14,FALSE,concept_drift
393,what does the dataset say about how can smart grids improve clean energy integration,climate_science,technology_innovation,FALSE,0.799,0.12,FALSE,concept_drift
394,how did COP28 address the global stocktake for the project report,adaptation,uae_cop28,FALSE,0.797,0.1,FALSE,concept_drift
395,what governance mechanisms support national climate plans with source support,mitigation,policy_governance,FALSE,0.7949,0.08,FALSE,concept_drift
396,find evidence on how did COP28 address the global stocktake,adaptation,uae_cop28,FALSE,0.7929,0.06,FALSE,concept_drift
397,show climate evidence about methane reduction strategies for the project report,policy_governance,policy_governance,TRUE,0.7935,0.06,FALSE,concept_drift
398,retrieve climate evidence for which UAE initiatives were discussed in the COP28 documents,adaptation,uae_cop28,FALSE,0.7915,0.04,FALSE,concept_drift
399,summarize documents about what evidence mentions the UAE consensus and transition away from fossil fuels,adaptation,uae_cop28,FALSE,0.7895,0.02,FALSE,concept_drift
400,how did COP28 address the global stocktake using reliable citations,adaptation,uae_cop28,FALSE,0.7875,0.02,FALSE,concept_drift
401,what mitigation actions reduce fossil fuel dependence for the GraphRAG agent,policy_governance,mitigation,FALSE,0.7855,0.02,FALSE,concept_drift
402,what evidence links emissions to radiative forcing using reliable citations,technology_innovation,climate_science,FALSE,0.7836,0.02,FALSE,concept_drift
403,what evidence links emissions to radiative forcing from the climate PDFs,technology_innovation,climate_science,FALSE,0.7816,0.02,FALSE,concept_drift
404,how can renewable energy reduce greenhouse gas emissions in the evidence graph,policy_governance,mitigation,FALSE,0.7797,0.02,FALSE,concept_drift
405,which AI methods are used in climate forecasting papers focusing on sea level,climate_science,technology_innovation,FALSE,0.7778,0.02,FALSE,concept_drift
406,what evidence mentions the UAE consensus and transition away from fossil fuels focusing on flood risk,adaptation,uae_cop28,FALSE,0.7759,0.02,FALSE,concept_drift
407,summarize documents about show findings about ocean warming and ice melt,technology_innovation,climate_science,FALSE,0.774,0.02,FALSE,concept_drift
408,how does energy efficiency support climate mitigation focusing on regulation,policy_governance,mitigation,FALSE,0.7721,0.02,FALSE,concept_drift
